2023-03-11 22:22:05.288387 [INFO   ] [APP] application started
2023-03-11 22:22:05.288788 [INFO   ] [APP] loading configuration from 'autotrader2.json'
2023-03-11 22:22:05.289470 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-11 22:22:05.289636 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-11 22:22:05.289696 [INFO   ] [BASE] logging in with teamname='2.0' and secret='rachel1234'
2023-03-11 22:22:05.290530 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-11 22:22:08.956734 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956759 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956777 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:08.956824 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:08.956835 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:08.956841 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-11 22:22:09.030703 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030725 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030733 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 12060
2023-03-11 22:22:09.030768 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.030783 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.030794 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124900; ask volumes: 30; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.048917 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.048939 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.048953 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 124800; bid volumes: 30
2023-03-11 22:22:09.086812 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086839 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086848 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 124900; ask volumes: 1000; bid prices: 124800; bid volumes: 3060
2023-03-11 22:22:09.086922 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.086936 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-11 22:22:09.086943 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 124800; ask volumes: 64; bid prices: 124500; bid volumes: 10
2023-03-11 22:22:09.087725 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.087738 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.087746 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 124700; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-11 22:22:09.100895 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.100916 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-11 22:22:09.100925 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 124600; bid volumes: 20
2023-03-11 22:22:09.152036 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-11 22:22:09.152061 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
